cv,param,metrics,val_acc,matrix
cv2,n_neighbours,5,0.413969087,"[[ 211    5    0    0    0    2    0    0    0   14   54]
 [   1  391    0    0    4    0    1    0   17  177    0]
 [   0    4   18    0    0    0    1    0    1    4    0]
 [   0    1    0    0    0    0    0    0    2    7    0]
 [   0   28    0    4   88    1   37    0  106  354    0]
 [   0    8    0    0    6    1    0    0   26  146    0]
 [   0    5    0    2   54    0   19    0   59  167    0]
 [   0   33    0    0   13    2    6   41  498  285    0]
 [   1   88    0    1   80    9   45    4  594 1255    0]
 [   0   89    0    0   31    6   11    0  170 1360    0]
 [  52   18    0    0    2    1    1    0    1   19  116]]"
cv2,n_neighbours,6,0.423155439,"[[ 235    7    0    0    0    0    0    0    0   12   32]
 [   0  397    0    0    3    0    2    0   17  172    0]
 [   0    4   19    0    0    0    1    0    0    4    0]
 [   0    0    0    0    1    0    0    0    1    7    1]
 [   0   21    0    0   84    2   33    0  114  364    0]
 [   0    6    0    0    4    0    1    0   23  153    0]
 [   0    3    0    0   55    0   22    0   53  173    0]
 [   0   31    0    0   11    1    5   37  511  282    0]
 [   1   75    0    0   84    7   41    4  598 1267    0]
 [   0   72    0    0   31    5    9    0  146 1404    0]
 [  60   21    0    0    3    1    1    0    1   17  106]]"
cv2,n_neighbours,8,0.430300379,"[[ 231    4    0    0    0    0    0    0    0   17   34]
 [   0  392    0    0    1    0    0    0   16  182    0]
 [   0    3   18    0    0    0    0    0    3    4    0]
 [   0    0    0    0    1    0    0    0    0    8    1]
 [   0   15    0    0   72    1   16    0  108  406    0]
 [   0    4    0    0    3    0    1    0   25  154    0]
 [   0    3    0    0   39    0   10    0   62  192    0]
 [   0   25    0    0    7    0    1   30  525  290    0]
 [   1   51    0    0   57    1   14    3  629 1320    1]
 [   0   46    0    0   25    1    5    0  125 1465    0]
 [  61   18    0    0    1    0    1    0    2   23  104]]"
cv2,n_neighbours,10,0.437153689,"[[ 237    2    0    0    0    0    0    0    0   16   31]
 [   0  393    0    0    0    0    0    0   18  180    0]
 [   0    3   18    0    0    0    0    0    1    5    1]
 [   0    1    0    0    1    0    0    0    0    7    1]
 [   0   14    0    0   61    1   13    0  111  418    0]
 [   0    5    0    0    4    0    0    0   22  156    0]
 [   0    0    0    0   35    0   10    0   56  205    0]
 [   0   22    0    0    4    1    0   27  525  299    0]
 [   1   41    0    0   33    1    7    2  627 1365    0]
 [   0   37    0    0   14    0    4    0   94 1518    0]
 [  62   13    0    0    2    0    1    0    1   24  107]]"
cv2,n_neighbours,30,0.433070866,"[[ 220    0    0    0    0    0    0    0    0   18   48]
 [   0  375    0    0    0    0    0    0    2  214    0]
 [   0    1   18    0    0    0    0    0    1    7    1]
 [   0    0    0    0    0    0    0    0    2    7    1]
 [   0    2    0    0   18    0    2    0   96  500    0]
 [   0    0    0    0    0    0    0    0    9  178    0]
 [   0    1    0    0    9    0    1    0   64  231    0]
 [   0    3    0    0    1    0    0    8  576  290    0]
 [   1    7    0    0    2    0    0    0  595 1472    0]
 [   0    1    0    0    3    0    0    0   40 1623    0]
 [  55   12    0    0    0    0    0    0    1   30  112]]"
cv2,n_neighbours,50,0.427675707,"[[ 221    1    0    0    0    0    0    0    0   17   47]
 [   0  370    0    0    0    0    0    0    0  221    0]
 [   0    1   17    0    0    0    0    0    1    7    2]
 [   0    0    0    0    0    0    0    0    1    8    1]
 [   0    0    0    0    8    0    0    0   96  514    0]
 [   0    0    0    0    0    0    0    0    7  180    0]
 [   0    0    0    0    6    0    1    0   54  245    0]
 [   0    0    0    0    0    0    0    7  599  272    0]
 [   1    4    0    0    2    0    0    0  548 1522    0]
 [   0    1    0    0    1    0    0    0   22 1643    0]
 [  50   13    0    0    0    0    0    0    1   28  118]]"
cv2,n_neighbours,70,0.426509186,"[[ 216    1    0    0    0    0    0    0    0   16   53]
 [   0  365    0    0    0    0    0    0    1  225    0]
 [   0    2   14    0    0    0    0    0    2    7    3]
 [   0    0    0    0    0    0    0    0    1    8    1]
 [   0    1    0    0    6    0    0    0   77  534    0]
 [   0    0    0    0    0    0    0    0    3  184    0]
 [   0    0    0    0    4    0    0    0   51  251    0]
 [   0    0    0    0    0    0    0    4  606  268    0]
 [   1    5    0    0    1    0    0    0  553 1517    0]
 [   0    0    0    0    0    0    0    0   19 1648    0]
 [  49    9    0    0    0    0    0    0    1   32  119]]"
cv2,n_neighbours,99,0.42461359,"[[ 216    1    0    0    0    0    0    0    0   17   52]
 [   0  366    0    0    0    0    0    0    2  223    0]
 [   0    1   14    0    0    0    0    0    2    8    3]
 [   0    0    0    0    0    0    0    0    1    9    0]
 [   0    1    0    0    3    0    0    0   69  545    0]
 [   0    0    0    0    0    0    0    0    2  185    0]
 [   0    0    0    0    2    0    0    0   45  259    0]
 [   0    0    0    0    0    0    0    3  615  260    0]
 [   1    3    0    0    1    0    0    0  535 1537    0]
 [   0    0    0    0    0    0    0    0   10 1657    0]
 [  47   10    0    0    0    0    0    0    1   34  118]]"
cv3,n_neighbours,4,0.415281423,"[[ 222    7    0    0    0    0    0    0    0    9   48]
 [   0  444    0    0    5    0    1    0   25  116    0]
 [   0    4   20    0    0    0    0    0    1    3    0]
 [   1    2    0    0    1    1    0    0    1    3    1]
 [   0   51    0   10  127    5   16    0  124  285    0]
 [   0   17    0    0    8    1    2    0   30  129    0]
 [   0    8    0    6   65    0   19    0   58  150    0]
 [   1   66    0    0   21   15    9   34  545  187    0]
 [   0  151    0    3  134   11   41    4  715 1018    0]
 [   1  147    0    0   74   10    2    0  271 1162    0]
 [  68   17    0    0    0    2    1    0    3   15  104]]"
cv3,n_neighbours,5,0.415573053,"[[ 195    6    0    0    0    2    1    0    0   10   72]
 [   0  435    0    0    4    0    1    0   25  126    0]
 [   0    3   19    0    0    0    0    0    1    5    0]
 [   1    1    0    0    1    0    0    0    3    4    0]
 [   0   32    0    3  103    1   23    0  156  300    0]
 [   0    9    0    0    6    1    4    0   38  129    0]
 [   0    3    0    3   67    1   20    0   59  153    0]
 [   1   59    0    0   12    6    4   38  547  211    0]
 [   0  118    0    2  106   12   48    4  755 1032    0]
 [   1  118    0    1   55    4    4    0  312 1172    0]
 [  57   23    0    0    0    1    1    0    2   14  112]]"
cv3,n_neighbours,6,0.428696413,"[[ 217    5    0    0    0    2    1    0    0   11   50]
 [   0  434    0    0    4    1    1    0   19  132    0]
 [   0    2   19    0    1    0    0    0    1    5    0]
 [   0    2    0    0    0    0    0    0    4    4    0]
 [   0   33    0    0  114    2   19    0  155  295    0]
 [   0    8    0    0    4    0    6    0   26  143    0]
 [   0    4    0    1   68    0   19    0   61  153    0]
 [   1   50    0    0    8    8    3   42  558  208    0]
 [   0  110    0    1  112    8   39    3  736 1068    0]
 [   0  100    0    0   55    2    3    0  257 1250    0]
 [  62   20    0    0    0    0    1    0    1   17  109]]"
cv3,n_neighbours,8,0.436862059,"[[ 211    5    0    0    0    0    1    0    0   11   58]
 [   0  427    0    0    4    1    0    0   16  143    0]
 [   0    3   20    0    1    0    0    0    1    3    0]
 [   0    3    0    0    0    0    0    0    3    4    0]
 [   0   21    0    0   98    1   10    0  147  341    0]
 [   0    2    0    0    5    0    3    0   34  143    0]
 [   0    3    0    0   66    0   10    0   69  158    0]
 [   1   39    0    0    5    3    0   29  574  227    0]
 [   0   71    0    0   71    2   15    4  753 1161    0]
 [   0   69    0    0   34    0    1    0  229 1334    0]
 [  58   17    0    0    0    0    0    0    1   20  114]]"
cv3,n_neighbours,10,0.43802858,"[[ 212    5    0    0    0    0    1    0    0   13   55]
 [   0  416    0    0    2    1    0    0   14  158    0]
 [   0    2   19    0    0    0    0    0    1    6    0]
 [   0    3    0    0    0    0    0    0    2    4    1]
 [   0   14    0    0   86    0    7    0  147  364    0]
 [   0    1    0    0    6    0    2    0   22  156    0]
 [   0    3    0    0   58    0    5    0   68  172    0]
 [   1   28    0    0    4    1    0   24  602  218    0]
 [   0   61    0    0   50    2    7    2  731 1224    0]
 [   0   56    0    0   26    0    0    0  185 1400    0]
 [  61   18    0    0    0    0    0    0    1   19  111]]"
cv3,n_neighbours,30,0.440069991,"[[ 213    3    0    0    0    0    0    0    0   11   59]
 [   0  391    0    0    0    0    0    0    7  192    1]
 [   0    2   19    0    0    0    1    0    1    5    0]
 [   0    1    0    0    0    0    0    0    1    7    1]
 [   0    2    0    0   29    0    0    0  126  461    0]
 [   0    0    0    0    4    0    0    0    6  177    0]
 [   0    0    0    0   20    0    1    0   78  207    0]
 [   1    8    0    0    0    0    0    4  609  256    0]
 [   0   25    0    0    5    0    1    1  649 1396    0]
 [   0   10    0    0    3    0    0    0   59 1595    0]
 [  52   18    0    0    0    0    0    0    2   21  117]]"
