cv,param,metrics,val_acc,matrix
cv3,"[penalty, class_weight]","['none', 'balanced']",0.753426655,"[[ 259    1    0    0    0    0    0    0    0    0   26]
 [   0  484    0    0   11    9    1    0   15   69    2]
 [   1    0   25    0    1    0    0    0    0    0    1]
 [   0    3    0    0    2    0    1    0    2    0    2]
 [   0   14    0    0  375   20   72    0   58   79    0]
 [   0    4    0    0   28   71   10    0   28   46    0]
 [   0    1    0    0   73   10  134    0   72   16    0]
 [   0    0    0    0    1    0    0  796   81    0    0]
 [   0   17    0    0   78   13   76   73 1598  222    0]
 [   0   31    0    0   53   59   20    0  215 1286    3]
 [  58    4    1    0    3    1    1    0    1    2  139]]"
cv3,"[penalty, class_weight]","['l2', 'balanced']",0.755468066,"[[ 261    1    0    0    0    0    2    0    0    0   22]
 [   0  487    0    0   11    9    1    0   12   70    1]
 [   1    0   25    0    1    0    0    0    0    0    1]
 [   0    3    0    0    2    0    1    0    2    0    2]
 [   0   11    0    0  383   23   73    0   50   78    0]
 [   0    5    0    0   27   70   11    0   27   47    0]
 [   0    1    0    0   76   10  136    0   68   15    0]
 [   0    0    0    0    1    0    0  817   60    0    0]
 [   0   21    0    0   88   14   76   90 1556  232    0]
 [   0   36    0    1   57   49   20    0  194 1308    2]
 [  59    4    0    0    4    1    1    0    1    2  138]]"
cv4,"[penalty, class_weight]","['none', None]",0.755322251,"[[ 255    0    0    0    0    0    0    0    0    0   31]
 [   0  488    0    0   16    5    1    0   13   65    3]
 [   0    2   22    0    0    0    1    0    0    1    2]
 [   0    1    0    1    2    1    3    0    0    1    1]
 [   0   14    0    1  375   23   64    0   80   60    1]
 [   0    5    0    0   21   68   10    0   23   59    1]
 [   0    3    0    0   78   12  116    0   84   13    0]
 [   1    0    0    0    0    0    0  813   64    0    0]
 [   2   27    0    1   62   16   58   71 1601  239    0]
 [   0   43    0    0   59   30   27    0  211 1295    2]
 [  52    4    0    1    4    1    0    0    1    1  146]]"
cv4,"[penalty, class_weight]","['l2', None]",0.752843395,"[[ 246    0    0    0    0    0    0    0    0    0   40]
 [   0  485    0    0   17    4    0    0   18   62    5]
 [   0    2   22    0    0    0    1    0    0    1    2]
 [   0    1    0    0    1    0    4    0    0    1    3]
 [   0   14    0    0  371   25   69    0   70   68    1]
 [   0    5    0    0   18   72   12    0   20   60    0]
 [   0    2    0    0   80   14  118    0   75   17    0]
 [   1    0    0    0    0    0    0  808   69    0    0]
 [   2   27    0    0   70   20   63   59 1594  242    0]
 [   0   39    0    0   63   28   25    0  223 1289    0]
 [  41    3    0    0    5    1    0    0    1    1  158]]"
cv4,"[penalty, class_weight]","['none', 'balanced']",0.745552639,"[[ 251    0    0    0    0    0    0    0    0    0   35]
 [   0  493    0    0   18    6    2    0   11   58    3]
 [   0    0   24    1    1    0    1    0    0    0    1]
 [   0    2    0    0    1    1    3    0    1    1    1]
 [   0   14    0    0  378   23   77    0   67   58    1]
 [   0    7    0    0   21   73   10    0   15   61    0]
 [   0    3    0    0   81   13  122    0   71   16    0]
 [   1    0    0    0    0    0    0  815   62    0    0]
 [   2   27    1    0   84   19   74   67 1535  268    0]
 [   0   49    0    0   84   46   31    0  174 1282    1]
 [  54    4    0    4    6    1    0    0    0    1  140]]"
cv4,"[penalty, class_weight]","['l2', 'balanced']",0.748614756,"[[ 249    0    0    0    0    0    0    0    0    0   37]
 [   0  492    0    0   19    5    2    0    9   59    5]
 [   0    0   25    0    1    0    1    0    0    0    1]
 [   0    1    0    0    1    1    3    0    1    1    2]
 [   0   14    0    0  390   23   77    0   51   62    1]
 [   0    6    0    0   21   77    9    0   15   59    0]
 [   0    2    0    0   77   13  136    0   61   17    0]
 [   1    0    0    0    0    0    0  834   43    0    0]
 [   3   24    1    0   86   24   87   82 1495  275    0]
 [   0   44    0    0   85   61   33    0  155 1288    1]
 [  50    3    0    1    6    1    0    0    0    1  148]]"
cv5,"[penalty, class_weight]","['none', None]",0.754009915,"[[ 242    1    0    1    0    0    0    1    1    1   39]
 [   0  465    0    1   16    9    1    0   20   77    2]
 [   2    1   23    0    0    0    1    0    0    0    1]
 [   0    0    0    1    2    1    2    0    4    0    0]
 [   0   12    0    0  379   17   66    0   69   75    0]
 [   0    5    0    0   21   64   11    0   14   71    1]
 [   0    7    0    0   78   11  129    0   60   21    0]
 [   0    0    0    0    0    0    0  811   67    0    0]
 [   0   20    0    1   65   14   71   78 1598  230    0]
 [   0   32    0    1   54   29   11    0  242 1296    2]
 [  40    4    0    0    2    0    0    0    0    1  163]]"
cv5,"[penalty, class_weight]","['l2', None]",0.757217848,"[[ 241    1    0    0    0    0    0    0    0    1   43]
 [   0  466    0    0   11   10    1    0   27   72    4]
 [   2    1   22    0    0    0    1    0    0    0    2]
 [   0    0    0    1    1    1    1    1    4    0    1]
 [   0   12    0    0  382   23   66    0   65   67    3]
 [   0    5    0    0   19   62    8    0   16   75    2]
 [   0    6    0    0   79   14  120    0   67   19    1]
 [   0    0    0    0    0    0    0  816   62    0    0]
 [   0   19    0    0   64   19   63   70 1621  220    1]
 [   0   28    0    1   62   33   19    0  222 1299    3]
 [  41    2    0    0    2    0    0    0    1    1  163]]"
cv5,"[penalty, class_weight]","['none', 'balanced']",0.756197142,"[[ 251    1    0    0    0    0    0    0    0    1   33]
 [   0  490    0    0   14    6    1    0   22   56    2]
 [   2    1   23    0    1    0    1    0    0    0    0]
 [   0    1    0    0    1    1    2    1    3    0    1]
 [   0   10    0    0  384   19   66    0   78   61    0]
 [   0    4    0    0   22   57   11    0   23   69    1]
 [   0    6    0    0   74   10  118    0   78   20    0]
 [   0    0    0    0    0    0    0  815   63    0    0]
 [   0   17    0    0   73   12   72   64 1602  237    0]
 [   0   34    0    0   75   35   19    0  207 1295    2]
 [  52    3    1    0    2    0    0    0    0    1  151]]"
cv5,"[penalty, class_weight]","['l2', 'balanced']",0.757363663,"[[ 250    1    0    0    0    0    0    0    0    1   34]
 [   0  501    0    0   15    8    2    0   15   48    2]
 [   2    1   23    0    1    0    1    0    0    0    0]
 [   0    1    0    1    1    1    2    1    3    0    0]
 [   0   10    0    0  402   23   64    0   58   61    0]
 [   0    5    0    0   22   63    9    0   22   65    1]
 [   0    7    0    0   74   12  128    0   64   21    0]
 [   0    0    0    0    0    0    0  818   60    0    0]
 [   0   27    0    0   77   20   86   65 1572  230    0]
 [   0   45    0    0   81   44   19    0  202 1274    2]
 [  42    4    0    0    2    0    0    0    0    0  162]]"
