metrics,matrix,val_acc,cv,param
5,"[[ 231    0    0    0    0    0    0    0   53    1    1]
 [   0  367    0    0    0    0    0    0   85  139    0]
 [   0    0    0    0    0    0    0    0   27    1    0]
 [   0    0    0    0    0    0    0    0    9    1    0]
 [   0    0    0    0    0    0    0    0  504  114    0]
 [   0    0    0    0    0    0    0    0   47  140    0]
 [   0    0    0    0    0    0    0    0  280   26    0]
 [   0    0    0    0    0    0    0  577  301    0    0]
 [   0    0    0    0    0    0    0   50 1671  356    0]
 [   0    0    0    0    0    0    0    0  443 1224    0]
 [  96    1    0    0    0    0    0    0   40    6   67]]",0.603237095,cv3,max_depth
8,"[[ 271    1    0    0    0    0    0    1    8    2    3]
 [   0  394    0    0    0    0    0    0   34  163    0]
 [   0    1   16    0    0    0    0    0    8    3    0]
 [   0    1    0    0    0    0    0    0    7    2    0]
 [   0    1    0    0    0    0    0    0  438  179    0]
 [   0    0    0    0    0    0    0    0   26  161    0]
 [   0    0    0    0    0    0    0    0  262   44    0]
 [   0    1    0    0    0    0    0  716  161    0    0]
 [   0    3    0    0    0    0    0  103 1459  512    0]
 [   0    0    0    0    0    0    0    0  219 1447    1]
 [ 101   10    0    0    0    0    0    2   14    9   74]]",0.638232721,cv3,max_depth
15,"[[ 276    1    0    0    0    0    0    0    1    0    8]
 [   0  400    0    0    0    0    0    0   16  172    3]
 [   1    1   16    0    0    0    0    0    5    4    1]
 [   0    1    0    0    0    0    0    0    5    2    2]
 [   0    1    0    0    6    0    0    1  386  224    0]
 [   0    0    0    0    0    0    0    0   14  173    0]
 [   0    0    0    0    4    0    0    0  251   51    0]
 [   0    1    0    0    0    0    0  776  101    0    0]
 [   0    3    0    0    0    0    0  134 1372  568    0]
 [   0    0    0    0    1    0    0    0  124 1539    3]
 [ 100    2    0    0    0    0    0    1    5   10   92]]",0.652814232,cv3,max_depth
25,"[[ 273    1    0    0    0    0    0    0    1    0   11]
 [   0  401    0    0    2    0    0    0   12  173    3]
 [   1    1   16    0    0    0    0    0    3    6    1]
 [   0    0    0    0    0    0    0    0    5    2    3]
 [   0    1    0    0   46    0    0    0  356  215    0]
 [   0    0    0    0    1    0    0    0   13  173    0]
 [   0    0    0    0   16    0    0    0  242   48    0]
 [   0    0    0    0    0    0    0  772  106    0    0]
 [   0    1    0    0    1    0    0  140 1388  547    0]
 [   0    0    0    0    2    0    0    0  133 1529    3]
 [  98    3    0    0    0    0    0    0    6    9   94]]",0.658938466,cv3,max_depth
30,"[[ 273    1    0    0    0    0    0    0    2    0   10]
 [   0  400    0    0    1    0    0    0   19  168    3]
 [   0    1   16    0    0    0    0    1    6    3    1]
 [   0    0    0    0    0    0    0    0    6    2    2]
 [   0    2    0    0   50    0    0    0  363  203    0]
 [   0    0    0    0    2    0    0    0   15  170    0]
 [   0    0    0    0   14    0    0    0  240   52    0]
 [   0    1    0    0    0    0    0  766  111    0    0]
 [   0    4    0    0    3    0    0  137 1405  528    0]
 [   0    1    0    0    3    0    0    0  133 1528    2]
 [  95    1    0    0    1    0    0    0    4   10   99]]",0.661563138,cv3,max_depth
5,"[[ 240    0    0    0    0    0    0    1   44    1    0]
 [   0  348    0    0    0    0    0    0  122  121    0]
 [   0    1    0    0    0    0    0    2   24    1    0]
 [   0    1    0    0    0    0    0    0    8    1    0]
 [   0    0    0    0    0    0    0    0  506  112    0]
 [   0    0    0    0    0    0    0    0   46  141    0]
 [   0    0    0    0    0    0    0    0  274   32    0]
 [   0    0    0    0    0    0    0  667  211    0    0]
 [   0    0    0    0    0    0    0   46 1679  352    0]
 [   0    0    0    0    0    0    0    0  490 1177    0]
 [  98    4    0    0    0    0    0    0   44    2   62]]",0.608486439,cv4,max_depth
8,"[[ 279    0    0    0    0    0    0    0    4    1    2]
 [   0  376    0    0    0    0    0    0   48  167    0]
 [   0    2   15    0    0    0    0    0   10    1    0]
 [   0    2    0    0    0    0    0    0    7    0    1]
 [   0    0    0    0    0    0    0    0  424  194    0]
 [   0    0    0    0    0    0    0    0   16  171    0]
 [   0    0    0    0    0    0    0    0  252   54    0]
 [   1    0    0    0    0    0    0  766  111    0    0]
 [   2    2    0    0    0    0    0   96 1441  536    0]
 [   0    0    0    0    0    0    0    0  213 1454    0]
 [ 101    7    0    0    0    0    0    0   22    3   77]]",0.642752989,cv4,max_depth
15,"[[ 280    0    0    0    0    0    0    0    1    0    5]
 [   1  386    0    0    0    0    0    0   17  182    5]
 [   0    4   15    0    0    0    0    0    5    3    1]
 [   0    1    0    0    0    0    0    0    4    3    2]
 [   0    1    0    0   16    0    0    0  388  213    0]
 [   0    0    0    0    0    0    0    0   11  176    0]
 [   0    0    0    0    1    0    0    0  240   65    0]
 [   1    0    0    0    0    0    0  794   83    0    0]
 [   2    5    0    0    0    0    0  118 1387  565    0]
 [   1    0    0    0    0    0    0    0  136 1530    0]
 [  93    5    0    0    0    0    0    0    3    5  104]]",0.65791776,cv4,max_depth
25,"[[ 280    0    0    0    0    0    0    0    0    1    5]
 [   1  384    0    0    0    0    0    0   18  183    5]
 [   0    6   15    0    0    0    0    0    5    1    1]
 [   0    1    0    0    0    0    0    0    3    4    2]
 [   0    2    0    0   51    0    0    1  350  214    0]
 [   0    0    0    0    0    0    0    0   12  175    0]
 [   0    0    0    0    8    0    0    0  235   63    0]
 [   1    0    0    0    0    0    0  795   82    0    0]
 [   2    5    0    0    1    0    0  125 1388  556    0]
 [   0    0    0    0    1    0    0    0  140 1525    1]
 [ 100    2    0    0    0    0    0    0    2    4  102]]",0.662000583,cv4,max_depth
30,"[[ 280    0    0    0    0    0    0    0    0    1    5]
 [   0  386    0    0    0    0    0    0   20  180    5]
 [   0    4   15    0    0    0    0    0    3    4    2]
 [   0    1    0    0    0    0    0    0    3    4    2]
 [   0    1    0    0   70    0    0    0  321  226    0]
 [   0    0    0    0    1    0    0    0   10  176    0]
 [   0    0    0    0   15    0    0    0  233   58    0]
 [   1    0    0    0    0    0    0  801   76    0    0]
 [   2    4    0    0    2    0    0  130 1379  560    0]
 [   0    0    0    0    2    0    0    0  143 1521    1]
 [  93    1    0    0    0    0    0    0    3    3  110]]",0.665208516,cv4,max_depth
